authority_id,jurisdiction,authority_type,issuing_body,citation,title,chapter,topic_tags,effective_date,amendment_date,status,precedential_status,source_url,local_filename,retrieval_date,sha256,retrieval_priority,retrieval_eligible,verification_required,notes,publication_status,retrieved_at,effective_date_checked,source_identity_checked,reviewed_at,reviewed_by,verification_level,snapshot_kind,snapshot_completeness,retrieval_scope,source_access_method,raw_source_bytes_preserved,extract_is_verbatim,source_derived_word_count,answer_scope,as_of_date
NH-0011,NH,statute,New Hampshire General Court,RSA 169-D,Children in need of services,169-D,"[""juvenile"", ""chins"", ""parental_rights""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XII/169-D/169-D-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0012,NH,statute,New Hampshire General Court,RSA 170-A,Interstate Compact on Placement of Children,170-A,"[""icpc"", ""interstate"", ""placement""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XII/170-A/170-A-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0013,NH,statute,New Hampshire General Court,RSA 170-B,Adoption,170-B,"[""adoption"", ""parentage"", ""consent""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XII/170-B/170-B-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0014,NH,statute,New Hampshire General Court,RSA 170-C,Termination of parental rights,170-C,"[""termination"", ""parental_rights"", ""due_process""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XII/170-C/170-C-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0015,NH,statute,New Hampshire General Court,RSA 173-B,Protection of persons from domestic violence,173-B,"[""domestic_violence"", ""protective_orders"", ""parenting""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XII/173-B/173-B-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0016,NH,statute,New Hampshire General Court,RSA 457,Marriages,457,"[""marriage"", ""solemnization"", ""validity""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XLIII/457/457-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0017,NH,statute,New Hampshire General Court,RSA 457-A,Civil unions,457-A,"[""civil_union"", ""marriage_status""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XLIII/457-A/457-A-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0018,NH,statute,New Hampshire General Court,RSA 458,"Annulment, divorce and separation",458,"[""divorce"", ""property"", ""alimony"", ""child_support""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XLIII/458/458-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0019,NH,statute,New Hampshire General Court,RSA 458-A,Uniform Child Custody Jurisdiction and Enforcement Act,458-A,"[""uccjea"", ""interstate_custody"", ""jurisdiction""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XLIII/458-A/458-A-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0021,NH,statute,New Hampshire General Court,RSA 458-C,Child Support Guidelines,458-C,"[""child_support"", ""guidelines"", ""deviation"", ""modification""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XLIII/458-C/458-C-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0022,NH,statute,New Hampshire General Court,RSA 461-A,Parental rights and responsibilities,461-A,"[""parenting_plan"", ""residential_responsibility"", ""decision_making"", ""modification"", ""relocation""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XLIII/461-A/461-A-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0023,NH,statute,New Hampshire General Court,RSA 461-B,Grandparent visitation and related provisions,461-B,"[""grandparents"", ""visitation""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XLIII/461-B/461-B-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0024,NH,statute,New Hampshire General Court,RSA 463,Guardianship of minors,463,"[""minor_guardianship"", ""probate""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XLIV/463/463-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0025,NH,statute,New Hampshire General Court,RSA 464-A,Guardians and conservators,464-A,"[""guardianship"", ""capacity"", ""probate""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/XLIV/464-A/464-A-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0026,NH,statute,New Hampshire General Court,RSA 490-D,Judicial Branch Family Division,490-D,"[""family_division"", ""jurisdiction"", ""court_structure""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/LI/490-D/490-D-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Official consolidated chapter page; verify section effective dates and session-law amendments during acquisition.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0027,NH,statute,New Hampshire General Court,RSA 546-B,Uniform Interstate Family Support Act,546-B,"[""uifsa"", ""interstate_support"", ""jurisdiction"", ""enforcement""]",,,source_seed_unverified,,https://gc.nh.gov/rsa/html/LV/546-B/546-B-mrg.htm,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]","Official consolidated chapter page under Title LV; individual sections, effective dates, amendments, and current codification remain pending review.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,,,,,,,,,,,,,,,
NH-0028,NH,court_rule,New Hampshire Judicial Branch,Family Division Rules,Rules of the Circuit Court of the State of New Hampshire — Family Division,,"[""procedure"", ""family_division"", ""filing"", ""service"", ""discovery""]",,,source_seed_unverified,,https://www.courts.nh.gov/rules-comment/rules-circuit-court-state-new-hampshire-family-division,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",,,,,,,,,,,,,,,,,
NH-0029,NH,court_rule,New Hampshire Judicial Branch,New Hampshire Rules of Evidence,New Hampshire Rules of Evidence,,"[""evidence"", ""hearings"", ""authentication""]",,,source_seed_unverified,,https://www.courts.nh.gov/rules-comment/new-hampshire-rules-evidence,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",,,,,,,,,,,,,,,,,
NH-0030,NH,court_rule,New Hampshire Supreme Court,Supreme Court Rules,New Hampshire Supreme Court Rules,,"[""appeal"", ""reconsideration"", ""briefing""]",,,source_seed_unverified,,https://www.courts.nh.gov/rules-comment/supreme-court-rules,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",,,,,,,,,,,,,,,,,
NH-0031,NH,court_rule,New Hampshire Judicial Branch,Court Records Rules,Rules Governing Access to Court Records,,"[""court_records"", ""confidentiality"", ""privacy""]",,,source_seed_unverified,,https://www.courts.nh.gov/rules-comment,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Locate and acquire the current specific court-record rule document through the official rules index.,,,,,,,,,,,,,,,,
NH-0032,NH,form_index,New Hampshire Judicial Branch,Family Division Forms,Family Division forms and instructions,,"[""forms"", ""self_help"", ""parenting"", ""support""]",,,source_seed_unverified,,https://www.courts.nh.gov/our-courts/circuit-court/family-division/forms,,,,2,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",,,,,,,,,,,,,,,,,
NH-0033,NH,official_guidance,New Hampshire Judicial Branch,Self-Help Center,New Hampshire Judicial Branch Self-Help Center,,"[""self_representation"", ""legal_help"", ""forms""]",,,source_seed_unverified,,https://www.courts.nh.gov/self-help,,,,2,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",,,,,,,,,,,,,,,,,
NH-0034,NH,administrative_rule,"New Hampshire General Court, Administrative Rules",He-W,Department of Health and Human Services rules index,,"[""administrative_rules"", ""dhhs"", ""child_support"", ""public_assistance""]",,,source_seed_unverified,,https://gc.nh.gov/rules/state_agencies/he-w.html,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",,,,,,,,,,,,,,,,,
NH-0035,NH,administrative_rule,"New Hampshire General Court, Administrative Rules",He-C,"Children, youth and families rules index",,"[""administrative_rules"", ""dcyf"", ""child_protection""]",,,source_seed_unverified,,https://gc.nh.gov/rules/state_agencies/he-c.html,,,,1,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",,,,,,,,,,,,,,,,,
NH-0036,NH,official_guidance,New Hampshire Department of Health and Human Services,BCSS Child Support Services,Bureau of Child Support Services,,"[""child_support"", ""title_iv_d"", ""enforcement"", ""services""]",,,source_seed_unverified,,https://www.dhhs.nh.gov/programs-services/childcare-parenting-childbirth/child-support-services,,,,2,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",,,,,,,,,,,,,,,,,
NH-0037,NH,case_law_index,New Hampshire Judicial Branch,Supreme Court Opinions,New Hampshire Supreme Court opinions,,"[""case_law"", ""precedent"", ""opinions""]",,,source_seed_unverified,,https://www.courts.nh.gov/our-courts/supreme-court/orders-and-opinions,,,,2,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Build issue-tagged case records from official opinions; later treatment and statutory supersession require verification.,,,,,,,,,,,,,,,,
NH-0038,NH,session_law_index,New Hampshire General Court,Bills and Laws,Session laws and enacted bills,,"[""legislative_history"", ""effective_dates"", ""amendments""]",,,source_seed_unverified,,https://gc.nh.gov/bill_status/misc/chaptered_final_version.aspx,,,,2,False,"[""source_identity"", ""current_codification"", ""effective_date"", ""amendment_history""]",Use to resolve recent amendments and future effective dates; consolidated RSA text alone is not sufficient.,,,,,,,,,,,,,,,,
NH-V0001,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 458-C:1,Child Support Guidelines — Purpose,458-C,"[""child_support"", ""guidelines"", ""purpose""]",2013-07-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/458-C/458-C-1.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-458-c-1.md,2026-09-11T18:22:03Z,b64360f0ab8ec5bbb0e9ee64f879f49fcb755b8c4b09c986345f86998296ee88,0,True,[],"Latest source note on the section page reflects amendments effective July 1, 2013.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,70,substantive_section_scope,2026-09-11
NH-V0002,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 458-C:2,Child Support Guidelines — Definitions and Income,458-C,"[""child_support"", ""income"", ""deductions"", ""shared_parenting"", ""equal_parenting""]",2025-01-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/458-C/458-C-2.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-458-c-2.md,2026-09-11T18:22:03Z,395e53b434aacc2a5c9397101dd9ec7bb4a218e835beb6d323364778d6fad605,0,True,[],"2024 amendments affecting shared-parenting and income definitions became effective January 1, 2025.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,102,substantive_section_scope,2026-09-11
NH-V0003,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 458-C:3,Child Support Formula,458-C,"[""child_support"", ""formula"", ""self_support_reserve"", ""medical_support""]",2013-06-19,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/458-C/458-C-3.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-458-c-3.md,2026-09-11T18:22:03Z,43188cd566b7cc0cbb5537b2e9f6a707f48b23cb1d43ac876cdef4ee92f83ca1,0,True,[],The capsule does not reproduce the complete numeric table. The official page and current DHHS schedule must be consulted for a calculation.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,96,substantive_section_scope,2026-09-11
NH-V0004,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 458-C:3-a,Child Support Guidelines Worksheet,458-C,"[""child_support"", ""worksheet"", ""financial_disclosure""]",2009-09-11,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/458-C/458-C-3-a.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-458-c-3-a.md,2026-09-11T18:22:03Z,08ba61aea0a4ddb8ec4c3e4249e7778cd9c18ac672d5f7be99ac568f7dd1914b,0,True,[],The current official worksheet itself remains a separate Judicial Branch/DHHS acquisition target.,official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,82,substantive_section_scope,2026-09-11
NH-V0005,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 458-C:4,Application and Presumption of Guidelines,458-C,"[""child_support"", ""presumption"", ""written_findings"", ""deviation""]",2006-05-26,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/458-C/458-C-4.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-458-c-4.md,2026-09-11T18:22:03Z,27920ec15b1f38966064dfd530f40ecf4937993746cc35c6d5a6e7be5c7ddbde,0,True,[],"Source note reflects the latest listed amendment effective May 26, 2006.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,64,substantive_section_scope,2026-09-11
NH-V0006,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 458-C:5,Adjustments to Child Support Guidelines,458-C,"[""child_support"", ""deviation"", ""shared_parenting"", ""equal_parenting"", ""special_circumstances""]",2025-01-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/458-C/458-C-5.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-458-c-5.md,2026-09-11T18:22:03Z,7bdb9d20a6c8eb5917eff84931e39b7474266f4234077a5a9281f21fddea06e4,0,True,[],"2024 amendments establishing the current shared/equal-parenting presumptions became effective January 1, 2025.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,101,substantive_section_scope,2026-09-11
NH-V0007,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 458-C:6,Periodic Review of Child Support Guidelines,458-C,"[""child_support"", ""guideline_review"", ""dhhs""]",2005-09-20,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/458-C/458-C-6.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-458-c-6.md,2026-09-11T18:22:03Z,865ee02d66b71547ae399f62920de4ac37d4285fa6bb746ae3d9ab479936411a,0,True,[],"Source note reflects the latest listed amendment effective September 20, 2005.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,57,substantive_section_scope,2026-09-11
NH-V0008,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 458-C:7,Modification of Child Support Order,458-C,"[""child_support"", ""modification"", ""three_year_review"", ""notice"", ""retroactivity""]",2009-06-15,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/458-C/458-C-7.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-458-c-7.md,2026-09-11T18:22:03Z,7676a1aa07e9fdac8b785487e40955a1b4836eaf6e473baa73c748fa44a55ad4,0,True,[],"Source note reflects the latest listed amendment effective June 15, 2009.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,78,substantive_section_scope,2026-09-11
NH-V0009,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 461-A:1,Parental Rights and Responsibilities — Definitions,461-A,"[""parental_rights"", ""terminology"", ""parenting_plan"", ""residential_responsibility""]",2025-01-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/461-A/461-A-1.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-461-a-1.md,2026-09-11T18:22:03Z,93a0db2f08763529fd6bac3eafbd0f3949d1d3fb66bbb8a07a3e2d5a3d11fd44,0,True,[],"2024 terminology amendments became effective January 1, 2025.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,64,substantive_section_scope,2026-09-11
NH-V0010,NH,statute,New Hampshire General Court — Office of Legislative Services,RSA 461-A:2,State Policy on Parental Involvement and Approximately Equal Time,461-A,"[""parental_rights"", ""equal_parenting"", ""state_policy"", ""best_interests""]",2025-01-01,,current_verified,,https://gc.nh.gov/rsa/html/XLIII/461-A/461-A-2.htm,corpus/CURRENT_AUTHORITY/statutes/rsa-461-a-2.md,2026-09-11T18:22:03Z,b6ecdfd9538322e172ffe085ac2085b7d1b13386cc486b82be5bff075ac1b703,0,True,[],"2024 amendment effective January 1, 2025.",official New Hampshire government online text; site labels material informational and directs users to bound RSA volumes/supplements for the official version,2026-09-11T18:22:03Z,True,True,2026-09-11T18:22:03Z,OpenAI source-acquisition pass 4 (official-source review and condensed extraction; not attorney validation),official_section_identity_text_effective_date_and_condensed_propositions_checked,normalized_authority_capsule,source_grounded_extract_and_structured_summary,capsule_only,web_parsed_official_html,False,False,79,substantive_section_scope,2026-09-11
